Variable,Abréviation,Niveau,Unité/Valeur
Humidité relative,RH,925 mb,%
Humidité relative,RH,950 mb,%
Humidité relative,RH,970 mb,%
Humidité relative,RH,985 mb,%
Humidité spécifique,SPFH,100 mb,kg/kg
Humidité spécifique,SPFH,1000 mb,kg/kg
Humidité spécifique,SPFH,1015 mb,kg/kg
Humidité spécifique,SPFH,120 m au-dessus du niveau du sol,kg/kg
Humidité spécifique,SPFH,150 mb,kg/kg
Humidité spécifique,SPFH,175 mb,kg/kg
Humidité spécifique,SPFH,2 m au-dessus du niveau du sol,kg/kg
Humidité spécifique,SPFH,200 mb,kg/kg
Humidité spécifique,SPFH,225 mb,kg/kg
Humidité spécifique,SPFH,250 mb,kg/kg
Humidité spécifique,SPFH,275 mb,kg/kg
Humidité spécifique,SPFH,300 mb,kg/kg
Humidité spécifique,SPFH,350 mb,kg/kg
Humidité spécifique,SPFH,40 m au-dessus du niveau du sol,kg/kg
Humidité spécifique,SPFH,400 mb,kg/kg
Humidité spécifique,SPFH,450 mb,kg/kg
Humidité spécifique,SPFH,50 mb,kg/kg
Humidité spécifique,SPFH,500 mb,kg/kg
Humidité spécifique,SPFH,550 mb,kg/kg
Humidité spécifique,SPFH,600 mb,kg/kg
Humidité spécifique,SPFH,650 mb,kg/kg
Humidité spécifique,SPFH,700 mb,kg/kg
Humidité spécifique,SPFH,750 mb,kg/kg
Humidité spécifique,SPFH,80 m au-dessus du niveau du sol,kg/kg
Humidité spécifique,SPFH,800 mb,kg/kg
Humidité spécifique,SPFH,850 mb,kg/kg
Humidité spécifique,SPFH,875 mb,kg/kg
Humidité spécifique,SPFH,900 mb,kg/kg
Humidité spécifique,SPFH,925 mb,kg/kg
Humidité spécifique,SPFH,950 mb,kg/kg
Humidité spécifique,SPFH,970 mb,kg/kg
Humidité spécifique,SPFH,985 mb,kg/kg
Humidité spécifique,SPFH,Surface,kg/kg
Hélicité relative de la tempête,HLCY,Surface,J/kg
Indice Showalter,SHWINX,500 mb,K
Indice climatique thermique universel,UTHCIDX,Surface,K
Indice d'intensité des précipitations totales,TPCPNINTSTI,Surface,0=Aucune intensité; 1=Faible; 2=Modéré; 3=Fort
Indice de soulèvement,4LFTX,500 mb,K
Indice de ventilation,VI,Surface,0 à 100
Masque terre/eau,WTRLANMASK,Surface,Fraction
Orographie du modèle,ORGPHY,Surface,m
Pression réduite au niveau moyen de la mer,PRMSL,Niveau moyen de la mer,Pa
Pression,PRES,Surface,Pa
Probabilité d'occurrence d'orage,PROBTSOCRNC,Surface,%
Probabilité de bourrasque de neige,PROBSNSQ,Surface,%
Probabilité de bruine,PROBDZ,Surface,%
Probabilité de bruine verglaçante,PROBFZDZ,Surface,%
Probabilité de grésil,PROBPL,Surface,%
Probabilité de neige,PROBSN,Surface,%
Probabilité de pluie verglaçante,PROBFZRA,Surface,%
Probabilité de pluie,PROBRA,Surface,%
Probabilité de poudrerie,PROBBLSN,Surface,%
Probabilité de précipitation,PROBPCPN,Surface,%
Probabilité de précipitation liquide,PROBLPCPN,Surface,%
Probabilité de précipitation verglaçante,PROBFZPCPN,Surface,%
Précipitation totale,APCP,Surface,kg/m<sup>2</sup>
Précipitations convectives,ACPCP,Surface,kg/m<sup>2</sup>
Quantité conditionnelle de granulés de glace solide,CONDAPL,Surface,m
Quantité conditionnelle de neige solide,CONDASSN,Surface,m
Quantité conditionnelle de précipitation,CONDAPCPN,Surface,m
Quantité conditionnelle de précipitation liquide,CONDALPCPN,Surface,m
Quantité conditionnelle de précipitations verglaçantes,CONDAFZPCPN,Surface,kg/(m<sup>2</sup>*s)
Ruissellement de surface,SFCWRO,Surface,kg/m<sup>2</sup>
Taux d'humidité du sol,SOILM,Profondeur sous la surface terrestre (0-0.01 m),kg/m<sup>2</sup>
Taux d'humidité du sol,SOILM,Profondeur sous la surface terrestre (0-0.1 m),kg/m<sup>2</sup>
Taux de précipitation de la neige,SPRATE,Surface,kg/(m<sup>2</sup>*s)
Taux de précipitation de la pluie,RPRATE,Surface,kg/(m<sup>2</sup>*s)
Taux de précipitation des pluies verglaçantes,FPRATE,Surface,kg/(m<sup>2</sup>*s)
Taux de précipitation du grésil,IPRATE,Surface,kg/(m<sup>2</sup>*s)
Taux de précipitation,PRATE,Surface,kg/(m<sup>2</sup>*s)
Température de la peau,SKINT,Surface,K
Température du point de rosée,DPT,120 m au-dessus du niveau du sol,K
Température du point de rosée,DPT,2 m au-dessus du niveau du sol,K
Température du point de rosée,DPT,40 m au-dessus du niveau du sol,K
Température du sol,TSOIL,Profondeur sous la surface terrestre (0-0.1 m),K
Température du sol,TSOIL,Surface,K
Température,TMP,100 mb,K
Température,TMP,1000 mb,K
Température,TMP,1015 mb,K
Température,TMP,120 m au-dessus du niveau du sol,K
Température,TMP,150 mb,K
Température,TMP,175 mb,K
Température,TMP,2 m au-dessus du niveau du sol,K
Température,TMP,200 mb,K
Température,TMP,225 mb,K
Température,TMP,250 mb,K
Température,TMP,275 mb,K
Température,TMP,300 mb,K
Température,TMP,350 mb,K
Température,TMP,40 m au-dessus du niveau du sol,K
Température,TMP,400 mb,K
Température,TMP,450 mb,K
Température,TMP,50 mb,K
Température,TMP,500 mb,K
Température,TMP,550 mb,K
Température,TMP,600 mb,K
Température,TMP,650 mb,K
Température,TMP,700 mb,K
Température,TMP,750 mb,K
Température,TMP,80 m au-dessus du niveau du sol,K
Température,TMP,800 mb,K
Température,TMP,850 mb,K
Température,TMP,875 mb,K
Température,TMP,900 mb,K
Température,TMP,925 mb,K
Température,TMP,950 mb,K
Température,TMP,970 mb,K
Température,TMP,985 mb,K
Tourbillon absolu,ABSV,1000 mb,s<sup>-1</sup>
Tourbillon absolu,ABSV,250 mb,s<sup>-1</sup>
Tourbillon absolu,ABSV,500 mb,s<sup>-1</sup>
Tourbillon absolu,ABSV,700 mb,s<sup>-1</sup>
Tourbillon absolu,ABSV,850 mb,s<sup>-1</sup>
Type de précipitation dominant,DMNTPCPNTYPE,Surface,101=Pluie; 110=Grêle; 111=Bruine; 203=Pluie verglaçante; 212=Bruine verglaçante; 308=Grésil; 405=Neige; 409=Granulés de neige; 413=Cristaux de glace; 414=Grains de neige
Type de précipitation instantanée,PCPNTYPE,Surface,1=Pluie; 2=Pluie/Neige; 3=Pluie verglaçante; 4=Grésil; 5=Neige; 6=Aucune; 7=Bruine; 8=Bruine verglaçante; 9=Précipitation verglaçante/Grésil
Type de précipitation secondaire,SCNDPCPNTYPE,Surface,101=Pluie; 110=Grêle; 111=Bruine; 203=Pluie verglaçante; 212=Bruine verglaçante; 308=Grésil; 405=Neige; 409=Granulés de neige; 413=Cristaux de glace; 414=Grains de neige
Visibilité dans le brouillard glacé,VISIFG,2 m au-dessus du niveau du sol,m
Visibilité dans le brouillard liquide,VISLFG,2 m au-dessus du niveau du sol,m
Vitesse du vent (rafale),GUST,10 m au-dessus du niveau du sol,m/s
Vitesse du vent,WSPD,10 m au-dessus du niveau du sol,m/s
Vitesse du vent,WSPD,100 mb,m/s
Vitesse du vent,WSPD,1000 mb,m/s
Vitesse du vent,WSPD,1015 mb,m/s
Vitesse du vent,WSPD,120 m au-dessus du niveau du sol,m/s
Vitesse du vent,WSPD,150 mb,m/s
Vitesse du vent,WSPD,175 mb,m/s
Vitesse du vent,WSPD,200 mb,m/s
Vitesse du vent,WSPD,225 mb,m/s
Vitesse du vent,WSPD,250 mb,m/s
Vitesse du vent,WSPD,275 mb,m/s
Vitesse du vent,WSPD,300 mb,m/s
Vitesse du vent,WSPD,350 mb,m/s
Vitesse du vent,WSPD,40 m au-dessus du niveau du sol,m/s
Vitesse du vent,WSPD,400 mb,m/s
Vitesse du vent,WSPD,450 mb,m/s
Vitesse du vent,WSPD,50 mb,m/s
Vitesse du vent,WSPD,500 mb,m/s
Vitesse du vent,WSPD,550 mb,m/s
Vitesse du vent,WSPD,600 mb,m/s
Vitesse du vent,WSPD,650 mb,m/s
Vitesse du vent,WSPD,700 mb,m/s
Vitesse du vent,WSPD,750 mb,m/s
Vitesse du vent,WSPD,80 m au-dessus du niveau du sol,m/s
Vitesse du vent,WSPD,800 mb,m/s
Vitesse du vent,WSPD,850 mb,m/s
Vitesse du vent,WSPD,875 mb,m/s
Vitesse du vent,WSPD,900 mb,m/s
Vitesse du vent,WSPD,925 mb,m/s
Vitesse du vent,WSPD,950 mb,m/s
Vitesse du vent,WSPD,970 mb,m/s
Vitesse du vent,WSPD,985 mb,m/s
Vitesse verticale (pression),VVEL,1000 mb,Pa/s
Vitesse verticale (pression),VVEL,250 mb,Pa/s
Vitesse verticale (pression),VVEL,500 mb,Pa/s
Vitesse verticale (pression),VVEL,700 mb,Pa/s
Vitesse verticale (pression),VVEL,850 mb,Pa/s
Écart du point de rosée,DEPR,100 mb,K
Écart du point de rosée,DEPR,1000 mb,K
Écart du point de rosée,DEPR,1015 mb,K
Écart du point de rosée,DEPR,120 m au-dessus du niveau du sol,K
Écart du point de rosée,DEPR,150 mb,K
Écart du point de rosée,DEPR,175 mb,K
Écart du point de rosée,DEPR,2 m au-dessus du niveau du sol,K
Écart du point de rosée,DEPR,200 mb,K
Écart du point de rosée,DEPR,225 mb,K
Écart du point de rosée,DEPR,250 mb,K
Écart du point de rosée,DEPR,275 mb,K
Écart du point de rosée,DEPR,300 mb,K
Écart du point de rosée,DEPR,350 mb,K
Écart du point de rosée,DEPR,40 m au-dessus du niveau du sol,K
Écart du point de rosée,DEPR,400 mb,K
Écart du point de rosée,DEPR,450 mb,K
Écart du point de rosée,DEPR,50 mb,K
Écart du point de rosée,DEPR,500 mb,K
Écart du point de rosée,DEPR,550 mb,K
Écart du point de rosée,DEPR,600 mb,K
Écart du point de rosée,DEPR,650 mb,K
Écart du point de rosée,DEPR,700 mb,K
Écart du point de rosée,DEPR,750 mb,K
Écart du point de rosée,DEPR,80 m au-dessus du niveau du sol,K
Écart du point de rosée,DEPR,800 mb,K
Écart du point de rosée,DEPR,850 mb,K
Écart du point de rosée,DEPR,875 mb,K
Écart du point de rosée,DEPR,900 mb,K
Écart du point de rosée,DEPR,925 mb,K
Écart du point de rosée,DEPR,950 mb,K
Écart du point de rosée,DEPR,970 mb,K
Écart du point de rosée,DEPR,985 mb,K
Énergie potentielle convective disponible,CAPE,Surface,J/kg
Épaisseur de la neige,SNOD,Surface,m
Épaisseur de neige équivalent en eau,SDWE,Surface,kg/m<sup>2</sup>
Épaisseur entre 2 niveaux isobares,THICK,1000-500 mb,m
État du ciel jour/nuit (couverture et opacité nuageuse combinées),SKSTATE,Surface,0-1=Ensoleillé/Dégagé; 2-3=Généralement ensoleillé/Quelques nuages; 4-5-6=Alternance de soleil et de nuages/Partiellement nuageux; 7-8=Généralement nuageux/Généralement nuageux; 9=Nuageux/Nuageux; 10=Nuageux/Couvert
